Generation,Size X,Size Y,Births,Deaths,Total Population
1,50,50,0,0,5
2,50,50,0,0,6
3,50,50,0,0,7
4,50,50,0,0,9
5,50,50,0,0,8
6,50,50,0,0,9
7,50,50,0,0,12
8,50,50,0,0,11
9,50,50,0,0,18
10,50,50,0,0,11
11,50,50,0,0,11
12,50,50,0,0,10
13,50,50,0,0,13
14,50,50,0,0,16
15,50,50,0,0,19
16,50,50,0,0,19
17,50,50,0,0,23
18,50,50,0,0,25
19,50,50,0,0,35
20,50,50,0,0,25
21,50,50,0,0,32
22,50,50,0,0,27
23,50,50,0,0,37
24,50,50,0,0,30
25,50,50,0,0,46
26,50,50,0,0,39
27,50,50,0,0,45
28,50,50,0,0,30
29,50,50,0,0,31
30,50,50,0,0,29
31,50,50,0,0,27
32,50,50,0,0,32
33,50,50,0,0,32
34,50,50,0,0,39
35,50,50,0,0,34
36,50,50,0,0,29
37,50,50,0,0,34
38,50,50,0,0,31
39,50,50,0,0,34
40,50,50,0,0,36
41,50,50,0,0,33
42,50,50,0,0,31
43,50,50,0,0,29
44,50,50,0,0,34
45,50,50,0,0,31
46,50,50,0,0,42
47,50,50,0,0,37
48,50,50,0,0,36
49,50,50,0,0,45
50,50,50,0,0,48
51,50,50,0,0,64
52,50,50,0,0,45
53,50,50,0,0,60
54,50,50,0,0,50
55,50,50,0,0,66
56,50,50,0,0,55
57,50,50,0,0,64
58,50,50,0,0,65
59,50,50,0,0,70
60,50,50,0,0,66
61,50,50,0,0,77
62,50,50,0,0,72
63,50,50,0,0,77
64,50,50,0,0,65
65,50,50,0,0,67
66,50,50,0,0,71
67,50,50,0,0,63
68,50,50,0,0,53
69,50,50,0,0,59
70,50,50,0,0,49
71,50,50,0,0,50
72,50,50,0,0,56
73,50,50,0,0,61
74,50,50,0,0,68
75,50,50,0,0,67
76,50,50,0,0,71
77,50,50,0,0,64
78,50,50,0,0,66
79,50,50,0,0,73
80,50,50,0,0,70
81,50,50,0,0,65
82,50,50,0,0,75
83,50,50,0,0,75
84,50,50,0,0,73
85,50,50,0,0,84
86,50,50,0,0,74
87,50,50,0,0,87
88,50,50,0,0,95
89,50,50,0,0,90
90,50,50,0,0,97
91,50,50,0,0,98
92,50,50,0,0,92
93,50,50,0,0,103
94,50,50,0,0,93
95,50,50,0,0,97
96,50,50,0,0,100
97,50,50,0,0,97
98,50,50,0,0,115
99,50,50,0,0,112
100,50,50,0,0,124
101,50,50,0,0,127
102,50,50,0,0,123
103,50,50,0,0,126
104,50,50,0,0,113
105,50,50,0,0,114
106,50,50,0,0,114
107,50,50,0,0,122
108,50,50,0,0,119
109,50,50,0,0,124
110,50,50,0,0,129
111,50,50,0,0,126
112,50,50,0,0,124
113,50,50,0,0,127
114,50,50,0,0,130
115,50,50,0,0,130
116,50,50,0,0,126
117,50,50,0,0,141
118,50,50,0,0,133
119,50,50,0,0,149
120,50,50,0,0,150
121,50,50,0,0,143
122,50,50,0,0,154
123,50,50,0,0,158
124,50,50,0,0,152
125,50,50,0,0,148
126,50,50,0,0,144
127,50,50,0,0,135
128,50,50,0,0,160
129,50,50,0,0,138
130,50,50,0,0,150
131,50,50,0,0,143
132,50,50,0,0,162
133,50,50,0,0,156
134,50,50,0,0,143
135,50,50,0,0,129
136,50,50,0,0,132
137,50,50,0,0,115
138,50,50,0,0,117
139,50,50,0,0,130
140,50,50,0,0,126
141,50,50,0,0,125
142,50,50,0,0,120
143,50,50,0,0,127
144,50,50,0,0,132
145,50,50,0,0,144
146,50,50,0,0,138
147,50,50,0,0,140
148,50,50,0,0,132
149,50,50,0,0,158
150,50,50,0,0,141
151,50,50,0,0,146
