Generation,Size X,Size Y,Births,Deaths,Total Population
1,200,200,0,0,19888
2,200,200,0,0,10861
3,200,200,0,0,10137
4,200,200,0,0,9932
5,200,200,0,0,9454
6,200,200,0,0,9150
7,200,200,0,0,8662
8,200,200,0,0,8424
9,200,200,0,0,8155
10,200,200,0,0,7921
11,200,200,0,0,7718
12,200,200,0,0,7269
13,200,200,0,0,7154
14,200,200,0,0,7019
15,200,200,0,0,6914
16,200,200,0,0,6714
17,200,200,0,0,6609
18,200,200,0,0,6494
19,200,200,0,0,6546
20,200,200,0,0,6378
21,200,200,0,0,6335
22,200,200,0,0,5993
23,200,200,0,0,6170
24,200,200,0,0,5912
25,200,200,0,0,5859
26,200,200,0,0,5826
27,200,200,0,0,5739
28,200,200,0,0,5724
29,200,200,0,0,5572
30,200,200,0,0,5556
31,200,200,0,0,5588
32,200,200,0,0,5423
33,200,200,0,0,5359
34,200,200,0,0,5292
35,200,200,0,0,5332
36,200,200,0,0,5241
37,200,200,0,0,5156
38,200,200,0,0,5087
39,200,200,0,0,5124
40,200,200,0,0,4973
41,200,200,0,0,4939
42,200,200,0,0,4952
43,200,200,0,0,4966
44,200,200,0,0,4881
45,200,200,0,0,4789
46,200,200,0,0,4765
47,200,200,0,0,4823
48,200,200,0,0,4772
49,200,200,0,0,4856
50,200,200,0,0,4819
51,200,200,0,0,4664
