Generation,Size X,Size Y,Births,Deaths,Total Population
1,51,51,0,0,5
2,51,51,0,0,5
3,51,51,0,0,5
4,51,51,0,0,5
5,51,51,0,0,5
6,51,51,0,0,5
7,51,51,0,0,5
8,51,51,0,0,5
9,51,51,0,0,5
10,51,51,0,0,5
11,51,51,0,0,5
12,51,51,0,0,5
13,51,51,0,0,5
14,51,51,0,0,5
15,51,51,0,0,5
16,51,51,0,0,5
17,51,51,0,0,5
18,51,51,0,0,5
19,51,51,0,0,5
20,51,51,0,0,5
21,51,51,0,0,5
22,51,51,0,0,5
23,51,51,0,0,5
24,51,51,0,0,5
25,51,51,0,0,5
26,51,51,0,0,5
27,51,51,0,0,5
28,51,51,0,0,5
29,51,51,0,0,5
30,51,51,0,0,5
31,51,51,0,0,5
32,51,51,0,0,5
33,51,51,0,0,5
34,51,51,0,0,5
35,51,51,0,0,5
36,51,51,0,0,5
37,51,51,0,0,5
38,51,51,0,0,5
39,51,51,0,0,5
40,51,51,0,0,5
41,51,51,0,0,5
42,51,51,0,0,5
43,51,51,0,0,5
44,51,51,0,0,5
45,51,51,0,0,5
46,51,51,0,0,5
47,51,51,0,0,5
48,51,51,0,0,5
49,51,51,0,0,5
50,51,51,0,0,5
51,51,51,0,0,5
52,51,51,0,0,5
53,51,51,0,0,5
54,51,51,0,0,5
55,51,51,0,0,5
56,51,51,0,0,5
57,51,51,0,0,5
58,51,51,0,0,5
59,51,51,0,0,5
60,51,51,0,0,5
61,51,51,0,0,5
62,51,51,0,0,5
63,51,51,0,0,5
64,51,51,0,0,5
65,51,51,0,0,5
66,51,51,0,0,5
67,51,51,0,0,5
68,51,51,0,0,5
69,51,51,0,0,5
70,51,51,0,0,5
71,51,51,0,0,5
72,51,51,0,0,5
73,51,51,0,0,5
74,51,51,0,0,5
75,51,51,0,0,5
76,51,51,0,0,5
77,51,51,0,0,5
78,51,51,0,0,5
79,51,51,0,0,5
80,51,51,0,0,5
81,51,51,0,0,5
82,51,51,0,0,5
83,51,51,0,0,5
84,51,51,0,0,5
85,51,51,0,0,5
86,51,51,0,0,5
87,51,51,0,0,5
88,51,51,0,0,5
89,51,51,0,0,5
90,51,51,0,0,5
91,51,51,0,0,5
92,51,51,0,0,5
93,51,51,0,0,5
94,51,51,0,0,5
95,51,51,0,0,5
96,51,51,0,0,5
97,51,51,0,0,5
98,51,51,0,0,4
99,51,51,0,0,3
100,51,51,0,0,2
101,51,51,0,0,1
102,51,51,0,0,2
103,51,51,0,0,1
104,51,51,0,0,2
105,51,51,0,0,2
106,51,51,0,0,1
107,51,51,0,0,3
108,51,51,0,0,3
109,51,51,0,0,3
110,51,51,0,0,4
111,51,51,0,0,4
112,51,51,0,0,5
113,51,51,0,0,5
114,51,51,0,0,5
115,51,51,0,0,5
116,51,51,0,0,5
117,51,51,0,0,5
118,51,51,0,0,5
119,51,51,0,0,5
120,51,51,0,0,5
121,51,51,0,0,5
122,51,51,0,0,5
123,51,51,0,0,5
124,51,51,0,0,5
125,51,51,0,0,5
126,51,51,0,0,5
127,51,51,0,0,5
128,51,51,0,0,5
129,51,51,0,0,5
130,51,51,0,0,5
131,51,51,0,0,5
132,51,51,0,0,5
133,51,51,0,0,5
134,51,51,0,0,5
135,51,51,0,0,5
136,51,51,0,0,5
137,51,51,0,0,5
138,51,51,0,0,5
139,51,51,0,0,5
140,51,51,0,0,5
141,51,51,0,0,5
142,51,51,0,0,5
143,51,51,0,0,5
144,51,51,0,0,5
145,51,51,0,0,5
146,51,51,0,0,5
147,51,51,0,0,5
148,51,51,0,0,5
149,51,51,0,0,5
150,51,51,0,0,5
151,51,51,0,0,5
