Frame,Downhill Transitions,Uphill Transitions,None
289,4181,3175,2620
290,4212,3234,2533
291,4277,3152,2546
292,4216,3212,2548
293,4228,3150,2582
294,4240,3167,2557
295,4284,3082,2605
296,4168,3137,2673
297,4248,3128,2601
298,4190,3261,2523
299,4237,3130,2605
300,4198,3126,2640
301,4265,3144,2566
302,4259,3115,2600
303,4238,3176,2551
304,4274,3139,2557
305,4275,3172,2528
306,4279,3109,2592
307,4266,3142,2572
308,4156,3147,2671
309,4273,3137,2554
310,4267,3203,2501
311,4194,3205,2582
312,4222,3186,2557
313,4166,3181,2619
314,4187,3112,2668
315,4137,3202,2630
316,4160,3191,2629
317,4228,3121,2612
318,4199,3164,2611
319,4296,3131,2550
320,4292,3169,2515
321,4296,2962,2702
322,4122,3062,2784
323,4209,3027,2746
324,4195,3093,2681
325,4197,3065,2711
326,4183,3057,2734
327,4225,3050,2696
328,4101,3201,2672
329,4119,3058,2797
330,4224,3034,2716
331,4106,3060,2811
332,4189,3028,2763
333,4120,3163,2690
334,4138,3066,2769
335,4191,3030,2750
336,4267,2975,2725
337,4243,2965,2764
338,4227,3051,2684
339,4180,3043,2754
340,4226,3028,2726
341,4205,3049,2718
342,4104,3060,2799
343,4226,3057,2681
344,4145,3108,2704
345,4254,2995,2718
346,4196,3041,2722
347,4215,3027,2733
348,4165,3043,2766
349,4225,3016,2730
350,4085,3147,2732
351,4193,3000,2776
352,4191,3067,2716
353,4236,3070,2660
354,4322,2959,2691
355,4182,2995,2797
356,4176,3049,2753
357,4211,3095,2661
358,4162,3088,2713
359,4162,3002,2808
360,4237,3040,2694
361,4157,2910,2903
362,4187,2906,2888
363,4085,3011,2883
364,4195,2861,2910
365,4102,2928,2941
366,4122,2947,2901
367,4124,2917,2928
368,4146,3028,2793
369,4171,2897,2897
370,4167,2933,2876
371,4148,2840,2974
372,4204,2835,2920
373,4083,2962,2928
374,4211,2848,2921
375,4145,2871,2956
376,4157,2904,2906
377,4165,2900,2906
378,4112,2901,2959
379,4128,2861,2977
380,4099,2893,2972
381,4095,2946,2940
382,4176,2880,2918
383,4187,2902,2876
384,4085,2965,2918
385,4118,2942,2911
386,4185,2925,2867
387,4145,2921,2903
388,4119,2897,2945
389,4129,2970,2880
390,4213,2929,2830
391,4040,2975,2960
392,4094,2916,2964
393,4094,2937,2942
394,4060,2979,2927
395,4190,2855,2926
396,4091,2938,2949
397,4116,2981,2875
398,4141,2860,2971
399,4033,2996,2944
400,4137,2963,2872
401,4069,2777,3130
402,4103,2781,3090
403,4072,2780,3120
404,4117,2759,3095
405,4041,2828,3103
406,4017,2804,3150
407,3998,2776,3203
408,4066,2724,3181
409,4058,2798,3121
410,3975,2784,3210
411,3981,2801,3192
412,4138,2769,3055
413,4107,2795,3080
414,4057,2785,3131
415,4104,2826,3043
416,4104,2802,3069
417,3978,2850,3144
418,4088,2809,3075
419,4167,2705,3106
420,4111,2748,3114
421,4089,2751,3137
422,4031,2828,3110
423,4052,2788,3133
424,4159,2804,3013
425,4014,2784,3169
426,4166,2803,3009
427,4052,2836,3087
428,3945,2815,3213
429,4120,2780,3075
430,4025,2838,3101
431,4128,2771,3085
432,4031,2808,3132
433,4074,2758,3137
434,4064,2737,3173
435,4104,2764,3096
436,4034,2794,3135
437,4067,2824,3084
438,4046,2744,3176
439,4117,2763,3095
440,4059,2875,3037
441,4109,2570,3295
442,4135,2603,3234
443,4048,2612,3304
444,4031,2643,3302
445,4039,2638,3294
446,3965,2595,3407
447,4006,2661,3306
448,4024,2585,3357
449,3997,2690,3295
450,4043,2642,3283
451,4031,2622,3317
452,4073,2650,3247
453,4064,2632,3282
454,3998,2582,3389
455,3991,2628,3357
456,4014,2721,3242
457,4099,2609,3273
458,4097,2589,3284
459,4018,2671,3282
460,4061,2552,3354
461,4055,2584,3331
462,4003,2622,3345
463,3991,2674,3296
464,4000,2649,3323
465,4005,2671,3289
466,4003,2637,3329
467,3956,2610,3404
468,3968,2672,3330
469,3998,2566,3402
470,3991,2616,3366
471,4068,2625,3282
472,3903,2676,3403
473,4052,2635,3287
474,4046,2638,3291
475,4064,2555,3355
476,4038,2665,3271
477,4026,2641,3296
478,4095,2591,3286
479,3972,2626,3377
480,3976,2656,3345
481,3918,2387,3666
482,3894,2476,3600
483,3978,2448,3538
484,3990,2514,3468
485,3973,2441,3556
486,3946,2473,3553
487,3958,2469,3545
488,3988,2426,3567
489,3933,2453,3591
490,3854,2515,3597
491,3975,2455,3538
492,4004,2374,3597
493,3871,2419,3683
494,3912,2540,3516
495,3884,2482,3604
496,3966,2451,3554
497,3975,2419,3582
498,3888,2483,3603
499,3967,2400,3600
500,3976,2441,3565
501,3931,2445,3600
502,3929,2484,3560
503,3913,2473,3591
504,3842,2524,3605
505,3937,2454,3582
506,3983,2450,3540
507,3951,2439,3580
508,3954,2473,3538
509,4011,2388,3563
510,3914,2520,3544
511,3917,2424,3624
512,3974,2485,3506
513,3976,2396,3592
514,3927,2387,3663
515,4091,2450,3433
516,3898,2488,3585
517,3986,2425,3557
518,3947,2419,3599
519,3939,2462,3567
520,3946,2444,3573
521,3791,2212,3966
522,3827,2195,3950
523,3896,2326,3742
524,3830,2257,3891
525,3748,2323,3889
526,3818,2294,3852
527,3793,2263,3919
528,3771,2250,3959
529,3967,2199,3810
530,3806,2225,3929
531,3941,2224,3800
532,3775,2343,3861
533,3975,2222,3781
534,3857,2172,3937
535,3768,2250,3959
536,3886,2213,3874
537,3931,2230,3803
538,3970,2183,3823
539,3811,2237,3924
540,3823,2221,3930
541,3962,2146,3866
542,3885,2259,3836
543,3809,2256,3897
544,3868,2219,3891
545,3825,2309,3847
546,3817,2241,3912
547,3883,2207,3882
548,3832,2278,3862
549,3946,2239,3780
550,3905,2267,3805
551,3822,2283,3864
552,3834,2181,3955
553,3835,2196,3941
554,3932,2225,3816
555,3829,2302,3841
556,3817,2341,3814
557,3760,2341,3880
558,3829,2234,3909
559,3816,2305,3854
560,3893,2192,3893
561,3829,1910,4227
562,3767,1982,4228
563,3732,2000,4241
564,3759,1991,4224
565,3737,1931,4301
566,3834,2007,4128
567,3762,1972,4237
568,3706,2021,4244
569,3731,1973,4263
570,3731,2038,4217
571,3757,2123,4088
572,3751,2061,4159
573,3788,1977,4201
574,3829,1982,4163
575,3826,2008,4135
576,3700,2051,4216
577,3818,2005,4144
578,3739,2048,4170
579,3780,1982,4214
580,3712,1985,4281
581,3790,2039,4141
582,3829,2003,4143
583,3753,2038,4183
584,3759,1985,4235
585,3726,1984,4261
586,3784,1993,4200
587,3792,2002,4180
588,3760,2036,4170
589,3759,1990,4213
590,3739,2035,4190
591,3743,2058,4167
592,3710,2041,4207
593,3752,1975,4256
594,3767,2039,4177
595,3770,2028,4169
596,3704,2025,4248
597,3688,1970,4314
598,3776,2004,4185
599,3754,2010,4213
600,3865,1950,4162
601,3821,1709,4433
602,3643,1710,4621
603,3708,1695,4566
604,3666,1715,4582
605,3633,1665,4670
606,3573,1772,4627
607,3649,1732,4583
608,3697,1664,4612
609,3647,1709,4624
610,3717,1695,4563
611,3646,1749,4574
612,3542,1821,4614
613,3613,1694,4658
614,3635,1720,4612
615,3675,1756,4539
616,3650,1745,4574
617,3726,1703,4554
618,3652,1777,4535
619,3666,1746,4560
620,3634,1774,4567
621,3594,1779,4601
622,3670,1727,4572
623,3683,1782,4505
624,3644,1733,4593
625,3620,1690,4665
626,3607,1720,4648
627,3602,1762,4614
628,3649,1762,4555
629,3638,1786,4540
630,3617,1757,4591
631,3613,1769,4588
632,3676,1719,4574
633,3725,1771,4474
634,3641,1760,4579
635,3667,1746,4562
636,3672,1696,4602
637,3640,1723,4603
638,3675,1650,4642
639,3531,1790,4652
640,3670,1739,4566
641,3595,1393,4982
642,3657,1448,4869
643,3523,1472,4969
644,3646,1446,4883
645,3481,1463,5019
646,3572,1427,4975
647,3526,1461,4984
648,3457,1462,5049
649,3463,1448,5055
650,3539,1413,5022
651,3456,1428,5088
652,3500,1461,5015
653,3574,1417,4979
654,3511,1441,5017
655,3578,1429,4955
656,3501,1474,4999
657,3427,1404,5140
658,3470,1389,5122
659,3474,1464,5036
660,3423,1433,5122
661,3537,1445,4988
662,3460,1477,5027
663,3518,1498,4954
664,3562,1428,4984
665,3437,1480,5059
666,3490,1395,5100
667,3494,1465,5022
668,3495,1496,4971
669,3517,1452,4998
670,3520,1492,4949
671,3569,1430,4980
672,3513,1444,5016
673,3534,1393,5045
674,3469,1442,5063
675,3549,1481,4945
676,3542,1477,4951
677,3489,1430,5059
678,3481,1384,5101
679,3538,1440,4988
680,3622,1419,4936
681,3590,1012,5381
682,3363,981,5619
683,3386,1059,5525
684,3363,1060,5538
685,3318,1041,5609
686,3285,1087,5601
687,3328,1064,5580
688,3254,1118,5604
689,3325,1062,5591
690,3345,1048,5574
691,3283,1037,5656
692,3243,1054,5670
693,3320,1125,5529
694,3244,1048,5679
695,3302,1111,5560
696,3165,1047,5756
697,3237,1104,5628
698,3261,1102,5605
699,3200,1050,5720
700,3240,1076,5661
701,3274,1063,5634
702,3234,1049,5695
703,3294,1100,5573
704,3311,1056,5606
705,3270,1052,5653
706,3272,1010,5684
707,3294,1128,5554
708,3343,1065,5568
709,3328,1050,5598
710,3231,1094,5648
711,3195,1080,5699
712,3308,1085,5585
713,3244,1144,5571
714,3347,1012,5611
715,3263,1034,5677
716,3315,1014,5640
717,3300,1048,5629
718,3385,1012,5578
719,3251,1050,5668
720,3326,978,5678
721,3232,540,6203
722,3102,521,6345
723,3116,558,6295
724,3087,572,6315
725,3068,591,6316
726,3019,602,6346
727,2997,609,6363
728,2879,641,6458
729,3025,603,6338
730,3028,562,6369
731,2805,629,6538
732,2899,588,6491
733,2990,613,6369
734,2991,588,6386
735,2868,594,6516
736,2922,601,6439
737,2947,570,6455
738,2900,623,6448
739,2938,587,6450
740,2827,623,6520
741,2865,624,6490
742,2800,580,6591
743,2897,616,6463
744,2911,593,6469
745,2877,567,6525
746,2935,614,6427
747,3016,625,6338
748,2973,568,6427
749,2963,568,6434
750,2900,609,6464
751,2925,597,6452
752,2865,628,6475
753,2836,584,6552
754,2911,549,6509
755,2922,594,6459
756,2969,612,6396
757,2959,560,6449
758,2954,651,6359
759,2817,569,6590
760,2890,579,6497
761,2840,115,7027
762,2746,110,7115
763,2708,100,7168
764,2609,100,7269
765,2543,103,7330
766,2499,89,7387
767,2480,111,7383
768,2496,92,7387
769,2460,101,7417
770,2368,95,7506
771,2410,102,7457
772,2383,96,7488
773,2303,97,7568
774,2309,109,7561
775,2307,94,7581
776,2234,114,7623
777,2234,88,7655
778,2162,114,7693
779,2340,96,7535
780,2351,109,7517
781,2217,108,7652
782,2248,101,7617
783,2192,93,7685
784,2161,93,7713
785,2214,101,7660
786,2217,101,7652
787,2252,92,7618
788,2154,108,7708
789,2183,97,7684
790,2278,105,7585
791,2177,97,7702
792,2224,105,7645
793,2096,99,7776
794,2235,76,7663
795,2110,101,7769
796,2154,92,7729
797,2089,101,7779
798,2199,110,7668
799,2170,109,7698
800,2162,91,7714
801,2148,0,7826
802,2120,0,7846
803,2081,0,7891
804,2084,0,7885
805,2158,0,7816
806,2074,0,7899
807,2034,0,7938
808,2073,0,7889
809,1978,0,7990
810,1934,0,8039
811,2049,0,7922
812,2028,0,7949
813,1993,0,7975
814,1944,0,8026
