Frame,Downhill Transitions,Uphill Transitions,None
375,5171,86,4730
376,5302,69,4610
377,5262,68,4652
378,5228,79,4669
379,5217,79,4687
380,5254,73,4657
381,5108,69,4792
382,5244,76,4658
383,5289,80,4616
384,5303,71,4599
385,5259,61,4657
386,5268,70,4647
387,5209,65,4712
388,5172,89,4715
389,5216,58,4710
390,5158,60,4757
391,5243,73,4660
392,5142,58,4776
393,5296,82,4594
394,5260,74,4648
395,5239,70,4667
396,5330,83,4560
397,5165,67,4742
398,5233,75,4671
399,5255,74,4647
400,5141,68,4772
401,5211,72,4702
402,5175,40,4758
403,5290,57,4628
404,5253,47,4684
405,5158,67,4752
406,5172,45,4764
407,5304,57,4616
408,5203,46,4736
409,5118,51,4820
410,5176,52,4742
411,5167,59,4761
412,5264,49,4667
413,5153,51,4768
414,5216,53,4706
415,5276,41,4663
416,5231,59,4689
417,5341,55,4579
418,5188,44,4746
419,5243,64,4679
420,5167,55,4747
421,5232,45,4708
422,5164,55,4759
423,5170,46,4768
424,5147,61,4770
425,5247,51,4679
426,5277,57,4635
427,5146,48,4787
428,5106,71,4801
429,5206,40,4727
430,5184,51,4748
431,5258,48,4676
432,5174,51,4764
433,5254,48,4674
434,5299,44,4643
435,5160,45,4778
436,5263,44,4667
437,5241,48,4691
438,5228,44,4704
439,5229,54,4698
440,5176,56,4745
441,5163,33,4775
442,5212,29,4741
443,5192,40,4741
444,5177,36,4771
445,5136,30,4808
446,5244,30,4715
447,5128,35,4812
448,5168,27,4788
449,5199,34,4750
450,5253,39,4689
451,5171,35,4779
452,5214,25,4743
453,5267,37,4681
454,5186,41,4752
455,5184,29,4770
456,5250,28,4701
457,5089,46,4831
458,5157,28,4804
459,5169,30,4780
460,5196,32,4760
461,5203,32,4753
462,5153,40,4779
463,5142,37,4802
464,5103,33,4845
465,5153,40,4785
466,5121,22,4838
467,5198,30,4749
468,5207,24,4745
469,5199,36,4744
470,5139,39,4808
471,5183,28,4770
472,5126,33,4827
473,5106,35,4834
474,5172,32,4772
475,5215,37,4725
476,5067,35,4870
477,5063,29,4872
478,5196,37,4747
479,5085,35,4859
480,5209,31,4743
481,5143,24,4816
482,5189,29,4773
483,5126,16,4839
484,5113,21,4839
485,5211,23,4737
486,5215,11,4759
487,5219,21,4738
488,5236,25,4721
489,5146,24,4809
490,5152,21,4813
491,5190,20,4771
492,5286,17,4670
493,5227,26,4724
494,5186,17,4783
495,5190,18,4760
496,5302,27,4649
497,5247,17,4720
498,5117,24,4840
499,5127,14,4841
500,5200,18,4762
501,5107,25,4845
502,5204,31,4738
503,5158,22,4803
504,5178,16,4794
505,5115,25,4840
506,5065,23,4885
507,5049,19,4917
508,5097,21,4860
509,5170,23,4780
510,5106,15,4852
511,5067,18,4896
512,5108,20,4851
513,5159,17,4808
514,5188,21,4765
515,5238,19,4719
516,5091,17,4869
517,5149,22,4806
518,5042,23,4915
519,5210,18,4746
520,5164,18,4800
521,5244,16,4717
522,5128,13,4838
523,5163,18,4798
524,5162,13,4802
525,5226,15,4736
526,5213,10,4756
527,5222,12,4741
528,5084,12,4881
529,5068,13,4896
530,5215,19,4746
531,5167,10,4804
532,5126,15,4840
533,5122,16,4842
534,5236,8,4734
535,5094,13,4872
536,5201,15,4768
537,5098,11,4868
538,5152,15,4810
539,5170,12,4803
540,5247,10,4725
541,5140,15,4814
542,5187,14,4775
543,5197,10,4770
544,5155,15,4807
545,5194,13,4769
546,5134,17,4830
547,5164,10,4805
548,5162,13,4801
549,5086,12,4882
550,5131,16,4841
551,5142,13,4823
552,5083,13,4884
553,5155,15,4816
554,5214,14,4755
555,5176,12,4790
556,5141,9,4835
557,5116,13,4834
558,5084,10,4887
559,5171,16,4802
560,5088,21,4872
561,5132,14,4838
562,5132,10,4837
563,5133,9,4835
564,5121,8,4855
565,5142,7,4833
566,5092,10,4877
567,5156,7,4826
568,5117,6,4853
569,5113,12,4855
570,5216,9,4755
571,5118,7,4859
572,5143,10,4820
573,5146,8,4823
574,5185,7,4790
575,5125,2,4845
576,5161,7,4811
577,5163,5,4814
578,5193,4,4783
579,5120,5,4853
580,5139,9,4831
581,5073,8,4892
582,5150,9,4814
583,5145,3,4831
584,5106,3,4870
585,5146,5,4828
586,5123,7,4849
587,5071,11,4895
588,5087,8,4884
589,5148,8,4827
590,5099,4,4875
591,5197,9,4779
592,5157,6,4814
593,5111,5,4863
594,5150,3,4820
595,5180,6,4793
596,5264,9,4706
597,5128,10,4843
598,5054,5,4925
599,5069,8,4896
600,5171,6,4801
601,5153,5,4827
602,5094,7,4877
603,5099,2,4884
604,5087,3,4888
605,5155,7,4821
606,5141,1,4834
607,5107,4,4864
608,5039,3,4936
609,5080,5,4884
610,5156,3,4827
611,5219,0,4765
612,5087,7,4877
613,5146,4,4814
614,5182,2,4800
615,5113,3,4864
616,5136,4,4835
617,5103,5,4864
618,5109,6,4857
619,5142,9,4827
620,5173,7,4794
621,5109,1,4869
622,5099,4,4874
623,5152,3,4828
624,5130,4,4844
625,5137,2,4837
626,5070,7,4900
627,5180,1,4804
628,5085,4,4882
629,5104,3,4881
630,5065,4,4905
631,5089,4,4889
632,5081,5,4889
633,5154,3,4818
634,5130,3,4848
635,5101,3,4879
636,5047,3,4927
637,5060,6,4913
638,5172,3,4808
639,5103,2,4877
640,5109,2,4869
641,5062,2,4919
642,5178,1,4799
643,5165,1,4813
644,5123,1,4860
645,5035,1,4942
646,5119,1,4860
647,5068,1,4900
648,5146,1,4830
649,5158,1,4821
650,5096,1,4880
651,5125,0,4858
652,5172,1,4808
653,5117,1,4865
654,5070,0,4911
655,5104,0,4872
656,5039,2,4937
657,5142,1,4840
658,5110,3,4875
659,5141,1,4834
660,5115,1,4855
661,5169,0,4815
662,5042,1,4932
663,5092,2,4895
664,5138,1,4844
665,5055,3,4920
666,5133,1,4835
667,5126,3,4848
668,5062,2,4913
669,5156,3,4822
670,5139,1,4846
671,5050,3,4923
672,5145,1,4829
673,5060,1,4919
674,5063,0,4916
675,5110,2,4867
676,5111,1,4865
677,5122,3,4850
678,5082,3,4896
679,4990,1,4986
680,5160,0,4828
681,5007,0,4975
682,5089,0,4891
683,5186,0,4796
684,5049,0,4923
685,5017,0,4962
686,5090,0,4883
687,5254,0,4724
688,5106,0,4874
689,5080,0,4900
690,5139,0,4836
691,5068,0,4909
692,5122,0,4861
693,5085,0,4895
694,5160,0,4817
695,5085,0,4899
696,5082,1,4895
697,5066,1,4909
698,5201,0,4773
699,5036,1,4943
700,5105,1,4875
701,5116,0,4869
702,5131,0,4852
703,5170,0,4813
704,5073,1,4912
705,5049,0,4923
706,4990,0,4989
707,5132,0,4849
708,5121,1,4853
709,5077,0,4901
710,5036,0,4944
711,5048,0,4939
712,5112,0,4867
713,5087,0,4895
714,5135,0,4844
715,5050,1,4931
716,5196,0,4785
717,5200,0,4775
718,5087,1,4893
719,5132,0,4850
720,5003,0,4984
721,5087,0,4895
722,5179,0,4801
723,5135,0,4846
724,5116,0,4862
725,5196,0,4775
726,4984,0,4987
727,5116,0,4868
728,5100,0,4884
729,5180,0,4803
730,5072,0,4906
731,5060,0,4921
732,5168,0,4805
733,5137,0,4841
734,5156,0,4822
735,5086,0,4888
736,5086,0,4897
737,5081,0,4904
738,5116,0,4860
739,5067,0,4916
740,5061,0,4920
741,5102,0,4869
742,5215,0,4766
743,5030,0,4952
744,5120,0,4872
745,5144,0,4830
746,4962,0,5009
747,5045,0,4937
748,5142,0,4843
749,5087,0,4891
750,5034,0,4942
751,5194,0,4782
752,5060,0,4916
753,5088,0,4898
754,5104,0,4871
755,5044,0,4938
756,5143,0,4831
757,5170,0,4808
758,5065,0,4917
759,5096,0,4880
760,5152,0,4835
761,5126,0,4846
762,5020,0,4960
763,5097,0,4878
764,5105,0,4877
765,5145,0,4841
766,5004,0,4978
767,5057,0,4927
768,5023,0,4957
769,5056,0,4922
770,5033,0,4940
771,5065,0,4908
772,5106,0,4879
773,5137,0,4849
774,5154,0,4828
775,5131,0,4847
776,5132,0,4849
777,5072,0,4899
778,5102,0,4878
779,5080,0,4902
780,5064,0,4915
781,5066,0,4915
782,5124,0,4856
783,5003,0,4982
784,5088,0,4884
785,5171,0,4809
786,5057,0,4920
787,5109,0,4863
788,5058,0,4924
789,5105,0,4875
790,5134,0,4843
791,5063,0,4910
792,5068,0,4911
793,5035,0,4944
794,5082,0,4900
795,5192,0,4788
796,5062,0,4917
797,5119,0,4855
798,5055,0,4917
799,5133,0,4848
800,5107,0,4875
801,5151,0,4821
802,5087,0,4892
803,5139,0,4842
804,5107,0,4869
805,5111,0,4871
806,5128,0,4850
807,5050,0,4932
808,5149,0,4828
809,5120,0,4858
810,5072,0,4907
811,5098,0,4887
812,5135,0,4850
813,5125,0,4859
814,5169,0,4811
815,5102,0,4877
816,5126,0,4854
817,5095,0,4882
818,5170,0,4806
819,5123,0,4853
820,5068,0,4920
821,4980,0,4998
822,5025,0,4955
823,5022,0,4955
824,5129,0,4846
825,5191,0,4795
826,5006,0,4972
827,5141,0,4844
828,5046,0,4941
829,5053,0,4921
830,4945,0,5029
831,5088,0,4891
832,5033,0,4945
833,5077,0,4900
834,5141,0,4828
835,5055,0,4925
836,5011,0,4964
837,5093,0,4891
838,5064,0,4924
839,5056,0,4919
840,5048,0,4934
841,5075,0,4904
842,5106,0,4869
843,5078,0,4902
844,5086,0,4894
845,5142,0,4834
846,5022,0,4958
847,5091,0,4891
848,5126,0,4852
849,5053,0,4919
850,5041,0,4940
851,5072,0,4906
852,5091,0,4889
853,5098,0,4886
854,5061,0,4914
855,5135,0,4841
856,5030,0,4960
857,5110,0,4874
858,5105,0,4871
859,5211,0,4765
860,5137,0,4836
861,4859,0,5123
862,5085,0,4895
863,5123,0,4855
864,5101,0,4882
865,4998,0,4982
866,5068,0,4907
867,5091,0,4885
868,5028,0,4950
869,5112,0,4860
870,5038,0,4941
871,4994,0,4987
872,5123,0,4855
873,5071,0,4916
874,5064,0,4915
875,5044,0,4932
876,5080,0,4904
877,5068,0,4899
878,5068,0,4915
879,5031,0,4946
880,5136,0,4833
881,5121,0,4860
882,5064,0,4913
883,5110,0,4874
884,5035,0,4935
885,5137,0,4840
886,5067,0,4920
887,5013,0,4975
888,5020,0,4961
889,5040,0,4932
890,5075,0,4908
891,5051,0,4930
892,5130,0,4846
893,5044,0,4933
894,5061,0,4919
895,5080,0,4902
896,5043,0,4934
897,5003,0,4979
898,5025,0,4946
899,5172,0,4814
900,5067,0,4917
901,5136,0,4843
902,5119,0,4859
903,5207,0,4771
904,5187,0,4789
905,5127,0,4848
906,5102,0,4884
907,5167,0,4812
908,5151,0,4827
909,5074,0,4906
910,5084,0,4894
911,5100,0,4875
912,5101,0,4886
913,5159,0,4819
914,5046,0,4931
915,5129,0,4863
916,5144,0,4833
917,5007,0,4970
918,5008,0,4978
919,5042,0,4932
920,5191,0,4785
921,5069,0,4905
922,5044,0,4929
923,5163,0,4820
924,5145,0,4825
925,5090,0,4881
926,4956,0,5029
927,5044,0,4936
928,5094,0,4892
929,5159,0,4813
930,5019,0,4963
931,5036,0,4933
932,5067,0,4915
933,5018,0,4961
934,5143,0,4829
935,5091,0,4887
936,5031,0,4944
937,5165,0,4821
938,5065,0,4917
939,5026,0,4954
940,5170,0,4806
941,5086,0,4895
942,5094,0,4891
943,5101,0,4876
944,4973,0,5004
945,5004,0,4979
946,5076,0,4908
947,5113,0,4872
948,5020,0,4959
949,5086,0,4891
950,5088,0,4887
951,5069,0,4919
952,5079,0,4908
953,5027,0,4952
954,5167,0,4818
955,5088,0,4886
956,5033,0,4941
957,5105,0,4880
958,5198,0,4784
959,5105,0,4876
960,5043,0,4939
961,5049,0,4928
962,4926,0,5056
963,5105,0,4873
964,5080,0,4902
965,5032,0,4943
966,5024,0,4956
967,5069,0,4913
968,5080,0,4896
969,5120,0,4854
970,5047,0,4930
971,5148,0,4828
972,5087,0,4893
973,5021,0,4959
974,5056,0,4926
975,5065,0,4920
976,5032,0,4955
977,5079,0,4899
978,5157,0,4833
979,5064,0,4918
980,5093,0,4883
981,5024,0,4953
982,5060,0,4919
983,4978,0,5004
984,5114,0,4866
985,5096,0,4884
986,5153,0,4824
987,5063,0,4918
988,5111,0,4863
989,5114,0,4865
990,5093,0,4892
991,5094,0,4879
992,5083,0,4901
993,5111,0,4867
994,5101,0,4875
995,5084,0,4895
996,4987,0,4993
997,5136,0,4840
998,5105,0,4872
999,5112,0,4863
1000,5045,0,4945
