Frame,Downhill Transitions,Uphill Transitions,None
0,1,0,0
1,7957,583,1439
2,7653,623,1707
3,7469,650,1863
4,7314,679,1987
5,7210,685,2083
6,7030,644,2299
7,6980,642,2357
8,6920,645,2417
9,6756,683,2549
10,6794,635,2551
11,6737,699,2538
12,6812,673,2495
13,6714,675,2593
14,6712,666,2599
15,6608,688,2688
16,6552,658,2757
17,6601,659,2720
18,6572,614,2790
19,6526,674,2784
20,6516,651,2811
21,6491,677,2813
22,6548,599,2829
23,6493,633,2857
24,6464,667,2851
25,6360,657,2965
26,6503,612,2862
27,6426,625,2930
28,6357,692,2926
29,6367,666,2941
30,6400,676,2909
31,6380,649,2960
32,6378,646,2949
33,6392,610,2975
34,6355,692,2936
35,6372,637,2971
36,6384,659,2942
37,6360,601,3016
38,6363,581,3038
39,6323,636,3015
40,6275,654,3049
41,6295,577,3106
42,6293,573,3114
43,6308,593,3081
44,6253,569,3153
45,6238,620,3123
46,6251,623,3114
47,6229,573,3162
48,6310,601,3069
49,6205,555,3211
50,6186,595,3196
51,6249,520,3208
52,6136,575,3262
53,6125,571,3273
54,6130,598,3253
55,6134,556,3292
56,6095,573,3318
57,6106,565,3304
58,6121,578,3278
59,6197,537,3241
60,6153,542,3286
61,6074,525,3375
62,6126,568,3284
63,6184,585,3211
64,6157,552,3271
65,6165,532,3280
66,6057,539,3381
67,6103,550,3327
68,6027,585,3371
69,6119,564,3296
70,6024,566,3396
71,6156,544,3282
72,6132,540,3310
73,6106,542,3334
74,6037,576,3366
75,6074,564,3325
76,6157,539,3289
77,6079,604,3294
78,6062,511,3406
79,6114,544,3314
80,6080,583,3317
81,5969,558,3451
82,6068,523,3391
83,6034,508,3440
84,6162,477,3337
85,6066,476,3432
86,6052,510,3424
87,6047,463,3466
88,6034,474,3473
89,6005,495,3479
90,5977,469,3531
91,6037,473,3465
92,5959,509,3505
93,6057,497,3425
94,6055,474,3459
95,5963,488,3538
96,5949,465,3566
97,6028,485,3470
98,5929,501,3543
99,6002,472,3501
100,6001,492,3486
101,5955,482,3541
102,5903,505,3568
103,5982,492,3506
104,5913,517,3554
105,5899,474,3606
106,5828,515,3643
107,5886,510,3580
108,6058,530,3400
109,5906,495,3584
110,5932,464,3587
111,5914,441,3616
112,5932,470,3581
113,5918,466,3598
114,5897,454,3632
115,5889,505,3586
116,5987,499,3497
117,5898,512,3564
118,5978,453,3550
119,6047,447,3476
120,5941,488,3556
121,5845,452,3680
122,5884,446,3650
123,5852,424,3699
124,5888,456,3638
125,5973,407,3598
126,5875,397,3707
127,5824,440,3714
128,5797,415,3764
129,5793,402,3790
130,5829,393,3751
131,5769,445,3773
132,5820,421,3743
133,5820,395,3757
134,5810,426,3739
135,5860,399,3720
136,5846,421,3708
137,5796,421,3773
138,5762,401,3821
139,5785,402,3784
140,5822,427,3729
141,5794,421,3765
142,5905,383,3691
143,5749,415,3807
144,5814,420,3742
145,5814,431,3742
146,5756,421,3804
147,5881,398,3707
148,5808,408,3763
149,5774,394,3813
150,5838,420,3721
151,5725,400,3849
152,5789,404,3789
153,5731,406,3848
154,5733,361,3884
155,5687,405,3889
156,5777,416,3783
157,5746,378,3850
158,5834,395,3749
159,5737,407,3838
160,5734,414,3826
161,5774,344,3860
162,5720,376,3875
163,5770,331,3877
164,5768,345,3873
165,5789,330,3866
166,5663,345,3970
167,5716,332,3932
168,5789,304,3892
169,5694,319,3962
170,5657,361,3965
171,5634,345,3996
172,5629,354,3990
173,5648,343,3983
174,5669,344,3970
175,5601,334,4037
176,5701,358,3911
177,5644,325,4012
178,5734,319,3924
179,5687,336,3958
180,5724,326,3927
181,5641,314,4028
182,5558,333,4094
183,5705,322,3956
184,5663,352,3958
185,5620,307,4056
186,5523,345,4105
187,5607,310,4068
188,5543,311,4124
189,5658,311,4013
190,5571,297,4113
191,5621,354,4008
192,5660,309,4016
193,5545,344,4092
194,5609,312,4058
195,5581,344,4055
196,5650,296,4030
197,5587,347,4049
198,5677,318,3989
199,5595,299,4088
200,5577,322,4076
201,5605,291,4080
202,5537,250,4190
203,5631,244,4111
204,5575,254,4153
205,5549,272,4162
206,5530,283,4167
207,5630,294,4046
208,5529,301,4151
209,5571,279,4125
210,5583,274,4116
211,5536,266,4179
212,5552,270,4161
213,5612,269,4092
214,5574,283,4126
215,5470,241,4268
216,5422,253,4301
217,5467,242,4275
218,5416,256,4309
219,5497,268,4217
220,5452,231,4296
221,5469,273,4232
222,5393,277,4299
223,5452,275,4249
224,5546,260,4170
225,5509,249,4225
226,5483,256,4240
227,5528,247,4206
228,5394,247,4339
229,5534,237,4208
230,5450,242,4287
231,5530,274,4170
232,5534,265,4177
233,5481,244,4257
234,5477,248,4255
235,5423,263,4299
236,5591,239,4147
237,5505,251,4221
238,5391,279,4306
239,5495,263,4220
240,5509,248,4222
241,5439,224,4325
242,5426,217,4338
243,5405,235,4337
244,5559,214,4207
245,5509,209,4260
246,5493,206,4286
247,5396,200,4387
248,5448,226,4304
249,5459,208,4309
250,5494,207,4276
251,5440,197,4340
252,5369,204,4407
253,5469,208,4300
254,5470,188,4317
255,5412,188,4376
256,5466,187,4330
257,5361,201,4415
258,5362,190,4422
259,5374,194,4410
260,5282,213,4476
261,5406,192,4380
262,5407,198,4375
263,5397,199,4382
264,5407,184,4383
265,5364,218,4394
266,5401,172,4406
267,5409,216,4349
268,5412,203,4364
269,5391,191,4405
270,5445,184,4351
271,5360,172,4449
272,5415,168,4399
273,5383,183,4412
274,5395,180,4406
275,5373,187,4425
276,5418,182,4379
277,5386,192,4409
278,5347,182,4436
279,5311,191,4484
280,5382,183,4420
281,5317,145,4515
282,5311,152,4526
283,5263,171,4552
284,5386,166,4430
285,5271,161,4555
286,5271,174,4535
287,5364,166,4442
288,5432,143,4403
289,5390,165,4428
290,5386,159,4438
291,5432,126,4413
292,5305,154,4514
293,5458,144,4370
294,5287,153,4536
295,5355,148,4475
296,5345,133,4497
297,5343,146,4487
298,5320,134,4523
299,5352,150,4479
300,5323,151,4505
301,5290,145,4545
302,5274,144,4558
303,5374,161,4447
304,5308,157,4513
305,5295,150,4531
306,5316,136,4535
307,5181,148,4653
308,5323,149,4513
309,5250,158,4563
310,5310,141,4532
311,5337,135,4508
312,5272,139,4568
313,5296,140,4540
314,5346,159,4474
315,5298,146,4535
316,5316,139,4520
317,5212,142,4606
318,5273,125,4579
319,5293,147,4543
320,5301,148,4529
321,5289,102,4584
322,5302,112,4564
323,5354,141,4487
324,5272,107,4585
325,5317,124,4536
326,5256,116,4615
327,5261,91,4630
328,5287,113,4579
329,5303,107,4568
330,5320,120,4532
331,5350,120,4507
332,5292,87,4597
333,5265,132,4581
334,5350,89,4543
335,5232,114,4639
336,5318,89,4568
337,5254,101,4627
338,5320,108,4552
339,5247,110,4624
340,5300,117,4563
341,5242,114,4624
342,5349,89,4545
343,5223,98,4663
344,5268,99,4614
345,5310,108,4560
346,5262,97,4613
347,5291,102,4591
348,5268,105,4605
349,5287,112,4591
350,5378,89,4512
351,5255,105,4619
352,5249,105,4615
353,5395,94,4496
354,5272,106,4599
355,5270,116,4596
356,5308,91,4587
357,5293,99,4583
358,5227,110,4639
359,5342,122,4515
360,5303,100,4578
361,5259,75,4651
362,5213,82,4686
363,5226,75,4677
364,5264,77,4635
365,5340,82,4555
366,5154,66,4759
367,5211,81,4686
368,5329,66,4579
369,5324,77,4575
370,5213,72,4699
371,5181,88,4711
372,5286,73,4624
373,5295,78,4606
374,5175,89,4714
