relpress,quantity,amountmol,rouquerol,betplot
1.53734e-05,0.2689,0.012004464285714285,0.012004279736283034,1.2806599261040021
1.64216e-05,0.566,0.02526785714285714,0.025267442204214282,0.6499114499710259
4.34708e-05,1.5999,0.07142410714285716,0.07142100227978038,0.6086556980775778
7.11688e-05,2.3682,0.10572321428571428,0.10571569009142143,0.6732094350276125
9.47893e-05,2.9655,0.13238839285714288,0.13237584385405582,0.716061913112373
0.000232291,5.9568,0.26592857142857146,0.26586679861478574,0.8737119535431963
0.000432743,9.496,0.4239285714285715,0.42374511930678577,1.0212341813114783
0.000663783,12.9023,0.5759955357142857,0.5756131996696027,1.1531754316631482
0.00083474,15.0619,0.67240625,0.671844965606875,1.2424592617821921
0.00103422,17.4591,0.7794241071428571,0.7786180111427679,1.3282764914236806
0.00204016,26.549,1.1852232142857144,1.1828051692928574,1.7248487349947197
0.00416438,41.0402,1.8321517857142857,1.824522009460893,2.282449857226159
0.00614927,52.2183,2.331174107142857,2.316839088141027,2.6541636108764113
0.00814648,62.5585,2.792790178571429,2.7700387692375004,2.940926347483019
0.010012,71.5935,3.196138392857143,3.164138655267857,3.164210260928797
0.0177046,105.8516,4.725517857142858,4.6418544536892865,3.8141221739360245
0.0266783,138.4534,6.180955357142857,6.016057975838392,4.434515110583212
0.0370464,165.7392,7.399071428571429,7.124962468800001,5.199522125516463
0.0501308,188.6487,8.421816964285714,7.9996245424125,6.266644107384786
0.0683654,210.2164,9.384660714285715,8.743074630689286,7.819377380129971
0.0748739,216.7142,9.674741071428572,8.950355475920537,8.365466623245965
0.0882413,228.0251,10.179691964285716,9.28142271175759,9.507303216371882
0.0991282,236.0745,10.53904017857143,9.494324095941964,10.440785357471531
0.124399,253.4033,11.312647321428573,9.905365307290179,12.55874933844635
0.149683,269.949,12.051294642857144,10.247420706830358,14.606895167310707
0.17481,286.952,12.810357142857143,10.570978610714285,16.536784950337537
0.200962,307.8023,13.741174107142857,10.979720276223215,18.30301637421373
0.225863,329.1519,14.694281250000001,11.375386804031251,19.855412733741755
0.250153,353.2503,15.770102678571428,11.825164183218748,21.15429402282596
0.27484,378.3445,16.890379464285715,12.24822757232143,22.439165044670133
0.300558,403.1169,17.996290178571428,12.587361195080357,23.87776082229769
0.324827,429.0568,19.15432142857143,12.932480661892857,25.11714561902595
0.349819,463.4154,20.6881875,13.4510664369375,26.006785531842617
0.37472,576.9677,25.75748660714286,16.105641225714287,23.266381930929985
0.399405,672.3053,30.013629464285717,18.02603578810268,22.15711788742871
0.423907,680.2742,30.369383928571427,17.4955894955625,24.229363640906058
0.451728,691.8188,30.884767857142858,16.933253442571427,26.67697625456447
0.476131,707.3118,31.576419642857143,16.541907381883927,28.783319178865717
0.500816,711.6414,31.769705357142858,15.858928598999999,31.57943469343695
0.524799,715.82,31.956250000000004,15.185641956250002,34.55889461321106
0.550589,720.0592,32.145500000000006,14.446541300500003,38.112167372611445
0.576042,723.8048,32.312714285714286,13.699233723142855,42.049213236420755
0.600681,727.2575,32.466852678571435,12.964631144754467,46.3322861478429
0.62663,731.1155,32.639084821428575,12.186455099776786,51.420203403652444
0.650406,734.6576,32.79721428571429,11.465709331,56.72618947712971
0.676045,737.942,32.94383928571429,10.672321455803573,63.34563691692111
0.701395,741.603,33.107276785714284,9.885998384598214,70.94832233563085
0.7255,744.9697,33.25757589285715,9.129204582589287,79.47023132591788
0.751498,748.2414,33.40363392857143,8.300869838517858,90.5324399273055
0.776123,751.416,33.54535714285715,7.51003392107143,103.34480618288251
0.800273,754.6829,33.69120089285715,6.729042480727679,118.9282133813277
0.826563,757.924,33.83589285714286,5.868395749464285,140.849907758088
0.8511,761.2854,33.985955357142856,5.060508752678572,168.18467106681817
0.876721,764.5619,34.13222767857143,4.207786895986609,208.35679697472736
0.901244,768.1538,34.29258035714286,3.3865980657499986,266.1207449194033
0.924784,771.8639,34.45820982142857,2.5918087099285696,356.8102832810864
0.95037,776.256,34.65428571428571,1.7198921999999983,552.5753300119629
0.975229,783.5735,34.98095982142857,0.8665133557366067,1125.4633221099934
0.988272,835.5649,37.302004464285716,0.4374779083571414,2259.021498276914
