Generation,Size X,Size Y,Births,Deaths,Total Population
1,200,200,0,0,19720
2,200,200,0,0,10873
3,200,200,0,0,10302
4,200,200,0,0,10061
5,200,200,0,0,9612
6,200,200,0,0,9195
7,200,200,0,0,8959
8,200,200,0,0,8577
9,200,200,0,0,8319
10,200,200,0,0,8293
11,200,200,0,0,8028
12,200,200,0,0,7927
13,200,200,0,0,7740
14,200,200,0,0,7545
15,200,200,0,0,7406
16,200,200,0,0,7395
17,200,200,0,0,7085
18,200,200,0,0,7008
19,200,200,0,0,6930
20,200,200,0,0,6822
21,200,200,0,0,6773
22,200,200,0,0,6637
23,200,200,0,0,6376
24,200,200,0,0,6206
25,200,200,0,0,6064
26,200,200,0,0,6019
27,200,200,0,0,5840
28,200,200,0,0,5781
29,200,200,0,0,5731
30,200,200,0,0,5744
31,200,200,0,0,5573
32,200,200,0,0,5653
33,200,200,0,0,5391
34,200,200,0,0,5456
35,200,200,0,0,5305
36,200,200,0,0,5448
37,200,200,0,0,5166
38,200,200,0,0,5227
39,200,200,0,0,4999
40,200,200,0,0,5135
41,200,200,0,0,4943
42,200,200,0,0,4936
43,200,200,0,0,4816
44,200,200,0,0,4831
45,200,200,0,0,4780
46,200,200,0,0,4726
47,200,200,0,0,4684
48,200,200,0,0,4692
49,200,200,0,0,4692
50,200,200,0,0,4646
51,200,200,0,0,4472
