Generation,Size X,Size Y,Births,Deaths,Total Population
1,50,50,0,0,5
2,50,50,0,0,6
3,50,50,0,0,7
4,50,50,0,0,9
5,50,50,0,0,8
6,50,50,0,0,9
7,50,50,0,0,12
8,50,50,0,0,11
9,50,50,0,0,18
10,50,50,0,0,11
11,50,50,0,0,11
12,50,50,0,0,10
13,50,50,0,0,13
14,50,50,0,0,16
15,50,50,0,0,19
16,50,50,0,0,19
17,50,50,0,0,23
18,50,50,0,0,25
19,50,50,0,0,35
20,50,50,0,0,25
21,50,50,0,0,32
22,50,50,0,0,27
23,50,50,0,0,37
24,50,50,0,0,30
25,50,50,0,0,46
26,50,50,0,0,39
27,50,50,0,0,45
28,50,50,0,0,30
29,50,50,0,0,31
30,50,50,0,0,29
31,50,50,0,0,27
32,50,50,0,0,32
33,50,50,0,0,32
34,50,50,0,0,39
35,50,50,0,0,34
36,50,50,0,0,29
37,50,50,0,0,34
38,50,50,0,0,31
39,50,50,0,0,34
40,50,50,0,0,36
41,50,50,0,0,33
42,50,50,0,0,31
43,50,50,0,0,29
44,50,50,0,0,34
45,50,50,0,0,31
46,50,50,0,0,42
47,50,50,0,0,37
48,50,50,0,0,36
49,50,50,0,0,45
50,50,50,0,0,48
51,50,50,0,0,64
52,50,50,0,0,45
53,50,50,0,0,60
54,50,50,0,0,50
55,50,50,0,0,66
56,50,50,0,0,55
57,50,50,0,0,63
58,50,50,0,0,63
59,50,50,0,0,68
60,50,50,0,0,65
61,50,50,0,0,75
62,50,50,0,0,77
63,50,50,0,0,85
64,50,50,0,0,66
65,50,50,0,0,69
66,50,50,0,0,73
67,50,50,0,0,63
68,50,50,0,0,52
69,50,50,0,0,55
70,50,50,0,0,49
71,50,50,0,0,51
72,50,50,0,0,58
73,50,50,0,0,59
74,50,50,0,0,65
75,50,50,0,0,61
76,50,50,0,0,65
77,50,50,0,0,66
78,50,50,0,0,60
79,50,50,0,0,71
80,50,50,0,0,60
81,50,50,0,0,67
82,50,50,0,0,66
83,50,50,0,0,68
84,50,50,0,0,66
85,50,50,0,0,78
86,50,50,0,0,64
87,50,50,0,0,73
88,50,50,0,0,72
89,50,50,0,0,70
90,50,50,0,0,71
91,50,50,0,0,71
92,50,50,0,0,63
93,50,50,0,0,74
94,50,50,0,0,66
95,50,50,0,0,67
96,50,50,0,0,64
97,50,50,0,0,62
98,50,50,0,0,68
99,50,50,0,0,72
100,50,50,0,0,73
101,50,50,0,0,86
102,50,50,0,0,82
103,50,50,0,0,81
104,50,50,0,0,80
105,50,50,0,0,86
106,50,50,0,0,81
107,50,50,0,0,100
108,50,50,0,0,89
109,50,50,0,0,110
110,50,50,0,0,95
111,50,50,0,0,97
112,50,50,0,0,88
113,50,50,0,0,95
114,50,50,0,0,109
115,50,50,0,0,92
116,50,50,0,0,112
117,50,50,0,0,95
118,50,50,0,0,101
119,50,50,0,0,111
120,50,50,0,0,100
121,50,50,0,0,112
122,50,50,0,0,110
123,50,50,0,0,96
124,50,50,0,0,122
125,50,50,0,0,113
126,50,50,0,0,114
127,50,50,0,0,107
128,50,50,0,0,123
129,50,50,0,0,97
130,50,50,0,0,112
131,50,50,0,0,111
132,50,50,0,0,100
133,50,50,0,0,101
134,50,50,0,0,123
135,50,50,0,0,99
136,50,50,0,0,121
137,50,50,0,0,112
138,50,50,0,0,105
139,50,50,0,0,111
140,50,50,0,0,125
141,50,50,0,0,120
142,50,50,0,0,116
143,50,50,0,0,132
144,50,50,0,0,124
145,50,50,0,0,134
146,50,50,0,0,140
147,50,50,0,0,118
148,50,50,0,0,120
149,50,50,0,0,146
150,50,50,0,0,120
151,50,50,0,0,127
152,50,50,0,0,125
153,50,50,0,0,116
154,50,50,0,0,135
155,50,50,0,0,122
156,50,50,0,0,117
157,50,50,0,0,129
158,50,50,0,0,139
159,50,50,0,0,121
160,50,50,0,0,137
161,50,50,0,0,119
162,50,50,0,0,144
163,50,50,0,0,132
164,50,50,0,0,135
165,50,50,0,0,131
166,50,50,0,0,136
167,50,50,0,0,150
168,50,50,0,0,156
169,50,50,0,0,160
170,50,50,0,0,167
171,50,50,0,0,157
172,50,50,0,0,166
173,50,50,0,0,138
174,50,50,0,0,151
175,50,50,0,0,145
176,50,50,0,0,155
177,50,50,0,0,152
178,50,50,0,0,167
179,50,50,0,0,180
180,50,50,0,0,140
181,50,50,0,0,150
182,50,50,0,0,137
183,50,50,0,0,159
184,50,50,0,0,150
185,50,50,0,0,155
186,50,50,0,0,170
187,50,50,0,0,173
188,50,50,0,0,158
189,50,50,0,0,151
190,50,50,0,0,153
191,50,50,0,0,153
192,50,50,0,0,154
193,50,50,0,0,139
194,50,50,0,0,166
195,50,50,0,0,142
196,50,50,0,0,153
197,50,50,0,0,111
198,50,50,0,0,119
199,50,50,0,0,92
200,50,50,0,0,100
201,50,50,0,0,84
