Generation,Size X,Size Y,Births,Deaths,Total Population
1,100,100,0,0,40
2,100,100,0,0,40
3,100,100,0,0,41
4,100,100,0,0,41
5,100,100,0,0,40
6,100,100,0,0,41
7,100,100,0,0,41
8,100,100,0,0,45
9,100,100,0,0,44
10,100,100,0,0,45
11,100,100,0,0,47
12,100,100,0,0,43
13,100,100,0,0,37
14,100,100,0,0,40
15,100,100,0,0,41
16,100,100,0,0,45
17,100,100,0,0,46
18,100,100,0,0,47
19,100,100,0,0,51
20,100,100,0,0,48
21,100,100,0,0,43
22,100,100,0,0,50
23,100,100,0,0,48
24,100,100,0,0,53
25,100,100,0,0,59
26,100,100,0,0,63
27,100,100,0,0,61
28,100,100,0,0,64
29,100,100,0,0,58
30,100,100,0,0,45
31,100,100,0,0,42
32,100,100,0,0,42
33,100,100,0,0,42
34,100,100,0,0,46
35,100,100,0,0,41
36,100,100,0,0,43
37,100,100,0,0,48
38,100,100,0,0,52
39,100,100,0,0,63
40,100,100,0,0,58
41,100,100,0,0,59
42,100,100,0,0,51
43,100,100,0,0,63
44,100,100,0,0,53
45,100,100,0,0,60
46,100,100,0,0,43
47,100,100,0,0,41
48,100,100,0,0,35
49,100,100,0,0,33
50,100,100,0,0,35
51,100,100,0,0,30
52,100,100,0,0,35
53,100,100,0,0,23
54,100,100,0,0,23
55,100,100,0,0,20
56,100,100,0,0,21
57,100,100,0,0,25
58,100,100,0,0,25
59,100,100,0,0,33
60,100,100,0,0,23
61,100,100,0,0,23
62,100,100,0,0,20
63,100,100,0,0,21
64,100,100,0,0,25
65,100,100,0,0,25
66,100,100,0,0,33
67,100,100,0,0,23
68,100,100,0,0,23
69,100,100,0,0,20
70,100,100,0,0,21
71,100,100,0,0,25
72,100,100,0,0,25
73,100,100,0,0,33
74,100,100,0,0,23
75,100,100,0,0,23
76,100,100,0,0,20
77,100,100,0,0,21
78,100,100,0,0,25
79,100,100,0,0,25
80,100,100,0,0,33
81,100,100,0,0,23
82,100,100,0,0,23
83,100,100,0,0,20
84,100,100,0,0,21
85,100,100,0,0,25
86,100,100,0,0,25
87,100,100,0,0,33
88,100,100,0,0,23
89,100,100,0,0,23
90,100,100,0,0,20
91,100,100,0,0,21
92,100,100,0,0,25
93,100,100,0,0,25
94,100,100,0,0,33
95,100,100,0,0,23
96,100,100,0,0,23
97,100,100,0,0,20
98,100,100,0,0,21
99,100,100,0,0,25
100,100,100,0,0,25
101,100,100,0,0,33
102,100,100,0,0,23
103,100,100,0,0,23
104,100,100,0,0,20
105,100,100,0,0,21
106,100,100,0,0,25
107,100,100,0,0,25
108,100,100,0,0,33
109,100,100,0,0,23
110,100,100,0,0,23
111,100,100,0,0,20
112,100,100,0,0,21
113,100,100,0,0,25
114,100,100,0,0,25
115,100,100,0,0,33
116,100,100,0,0,23
117,100,100,0,0,23
118,100,100,0,0,20
119,100,100,0,0,21
120,100,100,0,0,25
121,100,100,0,0,25
122,100,100,0,0,33
123,100,100,0,0,23
124,100,100,0,0,23
125,100,100,0,0,20
126,100,100,0,0,21
127,100,100,0,0,25
128,100,100,0,0,25
129,100,100,0,0,33
130,100,100,0,0,23
131,100,100,0,0,23
132,100,100,0,0,20
133,100,100,0,0,21
134,100,100,0,0,25
135,100,100,0,0,25
136,100,100,0,0,33
137,100,100,0,0,23
138,100,100,0,0,23
139,100,100,0,0,20
140,100,100,0,0,21
141,100,100,0,0,25
142,100,100,0,0,25
143,100,100,0,0,33
144,100,100,0,0,23
145,100,100,0,0,23
146,100,100,0,0,20
147,100,100,0,0,21
148,100,100,0,0,25
149,100,100,0,0,25
150,100,100,0,0,33
151,100,100,0,0,23
