Generation,Size X,Size Y,Births,Deaths,Total Population
1,200,200,0,0,19669
2,200,200,0,0,15469
3,200,200,0,0,13795
4,200,200,0,0,12985
5,200,200,0,0,12405
6,200,200,0,0,11875
7,200,200,0,0,11357
8,200,200,0,0,11113
9,200,200,0,0,10715
10,200,200,0,0,10400
11,200,200,0,0,10092
12,200,200,0,0,9927
13,200,200,0,0,9736
14,200,200,0,0,9537
15,200,200,0,0,9500
16,200,200,0,0,9441
17,200,200,0,0,9206
18,200,200,0,0,8969
19,200,200,0,0,8785
20,200,200,0,0,8554
21,200,200,0,0,8509
22,200,200,0,0,8208
23,200,200,0,0,8115
24,200,200,0,0,7961
25,200,200,0,0,7636
26,200,200,0,0,7533
27,200,200,0,0,7286
28,200,200,0,0,7167
29,200,200,0,0,6798
30,200,200,0,0,6774
31,200,200,0,0,6647
32,200,200,0,0,6591
33,200,200,0,0,6384
34,200,200,0,0,6261
35,200,200,0,0,6069
36,200,200,0,0,5902
37,200,200,0,0,5671
38,200,200,0,0,5462
39,200,200,0,0,5407
40,200,200,0,0,5257
41,200,200,0,0,5167
42,200,200,0,0,4992
43,200,200,0,0,4755
44,200,200,0,0,4596
45,200,200,0,0,4469
46,200,200,0,0,4352
47,200,200,0,0,4207
48,200,200,0,0,4095
49,200,200,0,0,4036
50,200,200,0,0,3868
51,200,200,0,0,3741
