Frame,Downhill Transitions,Uphill Transitions,None
0,1,0,0
1,7750,1129,1096
2,7619,1213,1131
3,7431,1249,1298
4,7384,1214,1385
5,7254,1272,1440
6,7158,1370,1447
7,7120,1306,1547
8,7153,1303,1526
9,7116,1296,1558
10,7006,1300,1665
11,7034,1327,1598
12,6963,1335,1671
13,6958,1316,1697
14,7053,1285,1636
15,6966,1357,1658
16,7016,1293,1661
17,7039,1304,1632
18,7043,1234,1697
19,7008,1296,1669
20,6976,1315,1682
21,6984,1299,1692
22,6934,1319,1722
23,6987,1308,1674
24,6946,1325,1695
25,6958,1326,1687
26,6969,1327,1672
27,6977,1316,1678
28,7042,1331,1603
29,6969,1352,1650
30,6956,1332,1686
31,6977,1284,1700
32,6907,1345,1723
33,6989,1282,1687
34,6924,1320,1729
35,6955,1312,1711
36,7002,1319,1647
37,6950,1342,1675
38,6907,1341,1722
39,6901,1402,1673
40,6894,1434,1643
41,6977,1289,1705
42,7013,1288,1675
43,6889,1335,1748
44,6844,1383,1747
45,6970,1305,1694
46,6962,1243,1762
47,6981,1257,1736
48,6958,1290,1720
49,6929,1319,1712
50,7026,1262,1688
51,6963,1317,1680
52,6978,1222,1772
53,6876,1275,1813
54,6948,1261,1763
55,6996,1246,1735
56,6902,1287,1792
57,6895,1282,1796
58,6850,1306,1815
59,6945,1304,1727
60,6955,1242,1779
61,6864,1345,1760
62,6909,1285,1776
63,6966,1284,1727
64,6977,1299,1703
65,6982,1274,1713
66,6926,1267,1772
67,6890,1353,1728
68,6923,1282,1772
69,6957,1272,1749
70,6950,1271,1743
71,6987,1235,1747
72,6940,1281,1761
73,6888,1304,1785
74,6941,1293,1737
75,6923,1301,1752
76,6930,1325,1713
77,6891,1345,1740
78,6881,1279,1796
79,6928,1264,1783
80,7000,1276,1698
81,6988,1156,1825
82,6857,1247,1876
83,6959,1204,1808
84,6896,1242,1835
85,6940,1254,1782
86,6859,1246,1869
87,6884,1226,1853
88,6889,1192,1892
89,6774,1297,1908
90,6889,1214,1867
91,6791,1250,1926
92,6855,1233,1882
93,6925,1202,1842
94,6889,1190,1894
95,6859,1211,1901
96,6922,1228,1826
97,6805,1270,1902
98,6911,1228,1837
99,6786,1252,1932
100,6800,1268,1909
101,6911,1207,1860
102,6811,1243,1909
103,6762,1289,1909
104,6876,1190,1907
105,6819,1252,1896
106,6799,1274,1906
107,6869,1201,1900
108,6883,1232,1853
109,6912,1224,1838
110,6906,1223,1842
111,6853,1207,1903
112,6926,1250,1790
113,6761,1234,1978
114,6802,1220,1945
115,6758,1256,1963
116,6897,1214,1852
117,6805,1320,1845
118,6868,1267,1833
119,6834,1240,1898
120,6835,1319,1808
121,6802,1229,1950
122,6821,1213,1942
123,6952,1179,1838
124,6831,1159,1982
125,6893,1155,1915
126,6814,1198,1960
127,6846,1212,1920
128,6898,1170,1904
129,6791,1240,1942
130,6798,1183,1984
131,6802,1196,1977
132,6801,1181,1983
133,6834,1144,1992
134,6943,1182,1845
135,6818,1148,1998
136,6844,1147,1981
137,6768,1199,2004
138,6796,1270,1909
139,6788,1198,1976
140,6871,1174,1936
141,6834,1179,1957
142,6665,1262,2041
143,6693,1207,2066
144,6776,1246,1950
145,6726,1242,2007
146,6849,1248,1876
147,6776,1248,1956
148,6864,1190,1924
149,6852,1237,1891
150,6831,1206,1937
151,6861,1173,1940
152,6775,1206,1992
153,6775,1208,1988
154,6810,1176,1984
155,6855,1164,1940
156,6783,1217,1980
157,6768,1220,1983
158,6860,1192,1924
159,6715,1226,2027
160,6903,1175,1893
161,6798,1155,2023
162,6789,1184,1997
163,6840,1122,2008
164,6681,1175,2122
165,6839,1098,2036
166,6807,1121,2039
167,6783,1117,2064
168,6752,1172,2053
169,6838,1127,2017
170,6805,1145,2009
171,6772,1148,2042
172,6722,1148,2104
173,6778,1160,2043
174,6799,1141,2042
175,6779,1141,2053
176,6755,1130,2092
177,6690,1169,2112
178,6822,1127,2015
179,6826,1096,2055
180,6757,1146,2072
181,6737,1093,2140
182,6814,1077,2082
183,6778,1104,2084
184,6844,1112,2019
185,6724,1171,2083
186,6724,1103,2148
187,6763,1172,2040
188,6734,1181,2051
189,6755,1108,2108
190,6800,1156,2023
191,6816,1060,2093
192,6742,1103,2126
193,6753,1123,2092
194,6760,1151,2064
195,6793,1142,2035
196,6749,1145,2076
197,6677,1171,2126
198,6719,1172,2081
199,6741,1108,2123
200,6783,1149,2037
201,6718,1109,2145
202,6733,1069,2167
203,6789,1025,2151
204,6722,1114,2140
205,6705,1070,2188
206,6668,1092,2208
207,6704,1056,2216
208,6840,1066,2062
209,6637,1161,2162
210,6789,1101,2083
211,6727,1021,2226
212,6779,1061,2137
213,6765,1047,2160
214,6725,1079,2155
215,6774,1078,2130
216,6711,1069,2185
217,6697,1074,2204
218,6618,1083,2272
219,6765,1050,2160
220,6675,1102,2188
221,6750,1079,2148
222,6690,1055,2222
223,6722,1091,2147
224,6666,1106,2200
225,6684,1069,2216
226,6665,1071,2227
227,6801,1047,2127
228,6649,1072,2255
229,6627,1120,2223
230,6596,1051,2314
231,6573,1088,2311
232,6672,1123,2177
233,6705,1090,2180
234,6681,1037,2254
235,6591,1066,2324
236,6650,1050,2271
237,6706,1127,2150
238,6660,1089,2226
239,6710,1057,2201
240,6675,1044,2250
241,6662,1067,2234
242,6738,988,2248
243,6639,973,2360
244,6667,1028,2274
245,6656,985,2339
246,6613,988,2373
247,6707,1036,2240
248,6703,987,2277
249,6592,1035,2348
250,6577,1071,2335
251,6608,1030,2339
252,6659,1012,2304
253,6599,1017,2355
254,6656,933,2372
255,6666,975,2331
256,6608,992,2372
257,6591,1024,2358
258,6636,1006,2332
259,6675,990,2311
260,6641,1035,2300
261,6636,999,2344
262,6662,993,2317
263,6586,994,2388
264,6687,951,2333
265,6592,1030,2351
266,6541,1042,2391
267,6633,976,2351
268,6550,1051,2368
269,6549,997,2426
270,6635,1028,2305
271,6717,997,2258
272,6616,1035,2327
273,6602,1023,2347
274,6625,1014,2331
275,6679,999,2296
276,6524,1034,2413
277,6593,1037,2345
278,6693,991,2297
279,6666,988,2318
280,6680,1024,2273
281,6561,964,2453
282,6620,973,2378
283,6653,951,2370
284,6574,974,2426
285,6502,962,2508
286,6575,943,2452
287,6627,952,2401
288,6480,946,2548
289,6528,956,2503
290,6632,925,2413
291,6606,932,2436
292,6608,932,2432
293,6599,914,2456
294,6568,880,2521
295,6578,914,2484
296,6619,964,2383
297,6589,913,2477
298,6583,942,2448
299,6601,946,2422
300,6627,906,2437
301,6591,896,2490
302,6549,897,2525
303,6554,948,2464
304,6529,939,2498
305,6486,924,2559
306,6617,918,2431
307,6535,887,2546
308,6637,854,2479
309,6577,942,2454
310,6497,944,2528
311,6543,961,2479
312,6582,915,2477
313,6557,915,2485
314,6599,888,2491
315,6557,905,2502
316,6635,942,2392
317,6507,969,2495
318,6566,925,2474
319,6542,926,2501
320,6502,918,2550
321,6538,863,2573
322,6506,838,2620
323,6459,901,2615
324,6539,826,2614
325,6453,874,2644
326,6596,856,2511
327,6603,849,2529
328,6442,848,2685
329,6445,860,2662
330,6494,820,2662
331,6512,827,2636
332,6492,835,2647
333,6520,826,2631
334,6458,840,2669
335,6473,824,2666
336,6516,849,2599
337,6488,845,2646
338,6488,792,2697
339,6402,856,2719
340,6493,810,2668
341,6511,795,2658
342,6510,795,2660
343,6544,825,2609
344,6411,809,2746
345,6539,801,2631
346,6404,891,2677
347,6478,853,2640
348,6486,868,2612
349,6484,807,2686
350,6437,811,2716
351,6454,881,2643
352,6488,842,2645
353,6509,817,2653
354,6525,838,2600
355,6500,819,2655
356,6530,835,2613
357,6435,872,2663
358,6418,846,2712
359,6530,839,2606
360,6485,854,2644
361,6454,738,2781
362,6549,710,2721
363,6390,795,2786
364,6420,737,2822
365,6570,754,2651
366,6432,738,2802
367,6367,781,2834
368,6419,718,2835
369,6433,751,2796
370,6502,774,2696
371,6512,737,2727
372,6415,742,2811
373,6387,812,2782
374,6393,755,2832
375,6478,751,2746
376,6387,742,2835
377,6402,758,2810
378,6454,741,2773
379,6353,741,2868
380,6445,740,2787
381,6420,776,2769
382,6443,710,2813
383,6314,757,2900
384,6437,723,2814
385,6306,786,2889
386,6383,711,2877
387,6535,723,2717
388,6424,759,2792
389,6371,754,2853
390,6415,750,2801
391,6403,753,2815
392,6397,752,2826
393,6403,707,2852
394,6413,747,2811
395,6433,753,2787
396,6413,781,2768
397,6322,726,2925
398,6434,767,2768
399,6360,757,2853
400,6373,722,2871
401,6440,628,2902
402,6308,658,3000
403,6267,628,3082
404,6419,647,2899
405,6290,706,2985
406,6341,649,2972
407,6313,663,2994
408,6384,660,2932
409,6289,694,3001
410,6366,625,2981
411,6443,644,2883
412,6253,711,3006
413,6419,609,2944
414,6360,626,2990
415,6321,643,3011
416,6358,663,2949
417,6355,638,2983
418,6363,612,3000
419,6313,657,3000
420,6310,671,2982
421,6335,680,2958
422,6319,668,2983
423,6256,687,3025
424,6293,664,3023
425,6349,670,2955
426,6314,682,2983
427,6390,641,2943
428,6351,641,2991
429,6367,671,2946
430,6317,632,3036
431,6307,629,3033
432,6195,702,3078
433,6259,686,3029
434,6342,630,3006
435,6311,640,3021
436,6412,641,2917
437,6328,659,2987
438,6264,654,3058
439,6327,666,2982
440,6388,625,2957
441,6270,576,3136
442,6275,553,3138
443,6290,570,3117
444,6253,530,3190
445,6217,598,3161
446,6245,579,3145
447,6269,573,3132
448,6207,555,3209
449,6251,546,3177
450,6207,568,3197
451,6322,522,3125
452,6189,557,3225
453,6165,571,3241
454,6186,573,3208
455,6279,552,3133
456,6237,554,3181
457,6097,612,3264
458,6252,547,3169
459,6169,630,3181
460,6288,555,3126
461,6238,571,3169
462,6267,557,3147
463,6254,571,3152
464,6224,564,3181
465,6239,548,3188
466,6200,576,3197
467,6198,546,3230
468,6231,563,3188
469,6176,531,3263
470,6163,526,3284
471,6248,553,3162
472,6262,547,3170
473,6219,572,3186
474,6201,575,3198
475,6145,577,3244
476,6190,565,3203
477,6224,533,3212
478,6253,543,3176
479,6234,567,3179
480,6184,584,3201
481,6262,422,3285
482,6209,456,3313
483,6166,441,3362
484,6266,438,3263
485,6185,439,3353
486,6163,479,3334
487,6119,476,3378
488,6103,461,3406
489,6125,471,3372
490,6158,438,3376
491,6076,499,3392
492,6027,502,3436
493,6197,449,3327
494,6212,459,3303
495,6067,496,3406
496,6029,462,3484
497,6032,502,3439
498,6113,429,3425
499,6070,494,3400
500,6052,473,3455
501,6103,445,3431
502,6110,490,3370
503,6086,451,3430
504,6110,462,3400
505,6059,465,3445
506,6113,467,3384
507,6154,472,3341
508,6176,468,3331
509,6157,447,3365
510,6102,461,3420
511,6204,475,3302
512,6142,466,3360
513,6108,456,3405
514,6125,437,3421
515,6065,437,3469
516,6082,431,3451
517,6127,427,3417
518,6073,471,3424
519,6146,452,3372
520,6092,468,3411
521,6105,343,3529
522,6065,345,3569
523,6068,385,3526
524,6051,344,3571
525,6177,328,3465
526,6045,367,3551
527,6007,352,3619
528,5984,405,3582
529,6052,347,3566
530,6005,382,3580
531,6096,370,3506
532,5922,406,3636
533,6093,365,3512
534,6067,339,3568
535,6026,377,3572
536,6002,375,3600
537,6063,342,3567
538,6049,359,3566
539,6023,348,3602
540,6061,376,3537
541,6034,366,3569
542,5974,363,3634
543,5985,374,3612
544,5971,410,3585
545,6001,376,3586
546,6020,355,3595
547,6034,368,3575
548,6033,368,3575
549,6037,410,3526
550,6011,384,3575
551,5982,366,3631
552,5979,372,3619
553,6092,340,3541
554,6007,354,3614
555,5947,371,3662
556,6025,389,3563
557,5988,384,3605
558,5984,421,3563
559,5973,369,3633
560,6062,365,3551
561,6034,246,3694
562,6068,250,3653
563,5936,267,3774
564,5980,290,3695
565,5896,259,3818
566,5997,313,3667
567,5936,288,3744
568,5960,263,3756
569,5931,271,3774
570,5933,266,3773
571,5950,234,3789
572,5952,286,3730
573,5893,282,3803
574,5945,258,3774
575,5868,249,3851
576,5898,277,3797
577,5827,287,3858
578,5938,256,3770
579,5909,273,3788
580,5994,269,3701
581,5885,271,3823
582,5845,286,3840
583,5950,260,3757
584,5954,245,3770
585,5856,277,3835
586,5931,264,3784
587,5873,234,3863
588,5862,264,3838
589,5834,283,3860
590,5861,257,3845
591,5930,286,3763
592,5834,278,3863
593,5876,281,3810
594,5951,273,3748
595,5897,250,3824
596,5869,309,3798
597,5816,276,3865
598,5846,293,3830
599,5854,247,3866
600,5840,286,3837
601,5843,168,3960
602,5847,188,3950
603,5932,171,3868
604,5767,201,4004
605,5769,195,4009
606,5809,188,3981
607,5816,182,3974
608,5791,207,3974
609,5730,189,4042
610,5783,172,4021
611,5813,205,3955
612,5752,176,4043
613,5762,204,4008
614,5735,196,4043
615,5684,181,4099
616,5798,193,3976
617,5679,180,4107
618,5757,207,4011
619,5761,178,4038
620,5714,190,4062
621,5684,216,4068
622,5802,176,3994
623,5853,188,3935
624,5709,198,4067
625,5765,180,4031
626,5687,176,4101
627,5714,185,4072
628,5820,167,3993
629,5688,174,4114
630,5625,177,4157
631,5720,204,4045
632,5725,187,4065
633,5769,192,4007
634,5669,198,4091
635,5650,188,4135
636,5783,163,4027
637,5781,209,3983
638,5782,176,4018
639,5827,176,3972
640,5755,175,4044
641,5718,114,4139
642,5747,101,4119
643,5721,93,4154
644,5668,108,4203
645,5695,97,4165
646,5679,97,4194
647,5598,112,4259
648,5655,87,4229
649,5714,107,4151
650,5557,121,4303
651,5701,123,4147
652,5629,123,4222
653,5619,120,4223
654,5627,106,4234
655,5651,119,4203
656,5563,111,4303
657,5611,112,4248
658,5615,104,4263
659,5621,116,4238
660,5602,107,4259
661,5649,109,4219
662,5550,112,4309
663,5571,101,4292
664,5583,111,4267
665,5603,105,4265
666,5653,124,4185
667,5628,120,4227
668,5601,110,4244
669,5685,122,4173
670,5551,103,4315
671,5587,105,4283
672,5629,112,4227
673,5632,104,4236
674,5565,90,4315
675,5591,90,4287
676,5486,105,4383
677,5587,105,4284
678,5598,93,4278
679,5564,93,4314
680,5592,109,4278
681,5529,36,4407
682,5560,37,4368
683,5534,47,4384
684,5527,41,4387
685,5628,44,4292
686,5529,49,4394
687,5496,35,4448
688,5431,57,4486
689,5524,49,4406
690,5513,39,4423
691,5477,46,4444
692,5488,45,4441
693,5487,40,4446
694,5482,48,4448
695,5483,43,4449
696,5559,39,4372
697,5515,33,4417
698,5491,43,4434
699,5389,51,4519
700,5454,41,4471
701,5397,48,4532
702,5475,47,4447
703,5644,43,4282
704,5344,43,4585
705,5476,39,4461
706,5511,23,4433
707,5565,37,4366
708,5500,45,4432
709,5465,42,4467
710,5429,33,4504
711,5448,46,4484
712,5520,32,4408
713,5462,51,4455
714,5538,35,4408
715,5350,35,4590
716,5414,37,4521
717,5397,45,4530
718,5498,39,4438
719,5464,39,4468
720,5478,31,4466
721,5438,16,4514
722,5399,11,4569
723,5438,6,4524
724,5370,8,4604
725,5402,9,4558
726,5483,7,4489
727,5439,6,4523
728,5365,11,4603
729,5353,12,4612
730,5299,7,4665
731,5403,8,4557
732,5385,6,4587
733,5432,9,4531
734,5387,10,4573
735,5308,5,4655
736,5333,8,4635
737,5381,9,4586
738,5472,3,4499
739,5371,7,4593
740,5263,13,4700
741,5386,11,4576
742,5453,7,4516
743,5272,18,4691
744,5328,6,4642
745,5318,16,4648
746,5433,7,4533
747,5380,8,4583
748,5320,4,4647
749,5390,4,4582
750,5472,9,4492
751,5392,8,4573
752,5339,5,4630
753,5359,8,4604
754,5321,6,4639
755,5390,7,4573
756,5358,6,4606
757,5417,6,4550
758,5246,10,4708
759,5336,8,4627
760,5337,7,4627
761,5356,0,4615
762,5417,0,4563
763,5327,0,4650
764,5358,0,4602
765,5284,0,4685
766,5365,0,4604
