Generation,Size X,Size Y,Births,Deaths,Total Population
1,100,100,0,0,4946
2,100,100,0,0,3928
3,100,100,0,0,3494
4,100,100,0,0,3297
5,100,100,0,0,3038
6,100,100,0,0,2889
7,100,100,0,0,2845
8,100,100,0,0,2732
9,100,100,0,0,2649
10,100,100,0,0,2587
11,100,100,0,0,2557
12,100,100,0,0,2547
13,100,100,0,0,2450
14,100,100,0,0,2358
15,100,100,0,0,2311
16,100,100,0,0,2219
17,100,100,0,0,2231
18,100,100,0,0,2110
19,100,100,0,0,2076
20,100,100,0,0,2027
21,100,100,0,0,2015
22,100,100,0,0,1941
23,100,100,0,0,1918
24,100,100,0,0,1862
25,100,100,0,0,1829
26,100,100,0,0,1762
27,100,100,0,0,1661
28,100,100,0,0,1665
29,100,100,0,0,1570
30,100,100,0,0,1584
31,100,100,0,0,1514
32,100,100,0,0,1487
33,100,100,0,0,1458
34,100,100,0,0,1423
35,100,100,0,0,1358
36,100,100,0,0,1297
37,100,100,0,0,1292
38,100,100,0,0,1272
39,100,100,0,0,1182
40,100,100,0,0,1222
41,100,100,0,0,1153
42,100,100,0,0,1129
43,100,100,0,0,1057
44,100,100,0,0,1062
45,100,100,0,0,1042
46,100,100,0,0,1014
47,100,100,0,0,998
48,100,100,0,0,981
49,100,100,0,0,973
50,100,100,0,0,914
51,100,100,0,0,897
52,100,100,0,0,802
53,100,100,0,0,797
54,100,100,0,0,780
55,100,100,0,0,777
56,100,100,0,0,773
57,100,100,0,0,741
58,100,100,0,0,706
59,100,100,0,0,696
60,100,100,0,0,681
61,100,100,0,0,655
62,100,100,0,0,629
63,100,100,0,0,600
64,100,100,0,0,579
65,100,100,0,0,547
66,100,100,0,0,539
67,100,100,0,0,513
68,100,100,0,0,529
69,100,100,0,0,521
70,100,100,0,0,509
71,100,100,0,0,490
72,100,100,0,0,495
73,100,100,0,0,455
74,100,100,0,0,460
75,100,100,0,0,431
76,100,100,0,0,419
77,100,100,0,0,411
78,100,100,0,0,412
79,100,100,0,0,427
80,100,100,0,0,423
81,100,100,0,0,412
82,100,100,0,0,405
83,100,100,0,0,406
84,100,100,0,0,411
85,100,100,0,0,411
86,100,100,0,0,390
87,100,100,0,0,406
88,100,100,0,0,388
89,100,100,0,0,386
90,100,100,0,0,373
91,100,100,0,0,378
92,100,100,0,0,371
93,100,100,0,0,373
94,100,100,0,0,359
95,100,100,0,0,365
96,100,100,0,0,361
97,100,100,0,0,370
98,100,100,0,0,359
99,100,100,0,0,371
100,100,100,0,0,350
101,100,100,0,0,352
102,100,100,0,0,351
103,100,100,0,0,358
104,100,100,0,0,331
105,100,100,0,0,327
106,100,100,0,0,327
107,100,100,0,0,342
108,100,100,0,0,336
109,100,100,0,0,333
110,100,100,0,0,322
111,100,100,0,0,328
112,100,100,0,0,335
113,100,100,0,0,323
114,100,100,0,0,310
115,100,100,0,0,310
116,100,100,0,0,305
117,100,100,0,0,305
118,100,100,0,0,296
119,100,100,0,0,292
120,100,100,0,0,278
121,100,100,0,0,279
122,100,100,0,0,260
123,100,100,0,0,267
124,100,100,0,0,265
125,100,100,0,0,276
126,100,100,0,0,257
127,100,100,0,0,270
128,100,100,0,0,267
129,100,100,0,0,263
130,100,100,0,0,257
131,100,100,0,0,253
132,100,100,0,0,247
133,100,100,0,0,251
134,100,100,0,0,244
135,100,100,0,0,252
136,100,100,0,0,260
137,100,100,0,0,261
138,100,100,0,0,262
139,100,100,0,0,275
140,100,100,0,0,267
141,100,100,0,0,270
142,100,100,0,0,249
143,100,100,0,0,263
144,100,100,0,0,252
145,100,100,0,0,257
146,100,100,0,0,241
147,100,100,0,0,249
148,100,100,0,0,236
149,100,100,0,0,239
150,100,100,0,0,223
151,100,100,0,0,242
152,100,100,0,0,237
153,100,100,0,0,236
154,100,100,0,0,226
155,100,100,0,0,231
156,100,100,0,0,223
157,100,100,0,0,228
158,100,100,0,0,216
159,100,100,0,0,225
160,100,100,0,0,220
161,100,100,0,0,223
162,100,100,0,0,215
163,100,100,0,0,224
164,100,100,0,0,221
165,100,100,0,0,224
166,100,100,0,0,212
167,100,100,0,0,220
168,100,100,0,0,217
169,100,100,0,0,220
170,100,100,0,0,211
171,100,100,0,0,220
172,100,100,0,0,217
173,100,100,0,0,220
174,100,100,0,0,211
175,100,100,0,0,220
176,100,100,0,0,217
177,100,100,0,0,220
178,100,100,0,0,211
179,100,100,0,0,220
180,100,100,0,0,217
181,100,100,0,0,220
182,100,100,0,0,211
183,100,100,0,0,220
184,100,100,0,0,217
185,100,100,0,0,220
186,100,100,0,0,211
187,100,100,0,0,220
188,100,100,0,0,217
189,100,100,0,0,220
190,100,100,0,0,211
191,100,100,0,0,220
192,100,100,0,0,217
193,100,100,0,0,220
194,100,100,0,0,211
195,100,100,0,0,220
196,100,100,0,0,217
197,100,100,0,0,220
198,100,100,0,0,211
199,100,100,0,0,220
200,100,100,0,0,217
201,100,100,0,0,220
