Generation,Size X,Size Y,Births,Deaths,Total Population
1,500,500,0,0,-6467
2,500,500,0,0,2599
3,500,500,0,0,-2805
4,500,500,0,0,-3889
5,500,500,0,0,-6528
6,500,500,0,0,-8277
7,500,500,0,0,-10374
8,500,500,0,0,-11867
9,500,500,0,0,-13366
10,500,500,0,0,-14727
11,500,500,0,0,-16077
12,500,500,0,0,-17168
13,500,500,0,0,-18377
14,500,500,0,0,-19481
15,500,500,0,0,-20535
16,500,500,0,0,-21514
17,500,500,0,0,-22441
18,500,500,0,0,-22995
19,500,500,0,0,-23499
20,500,500,0,0,-24325
21,500,500,0,0,-24871
22,500,500,0,0,-25894
23,500,500,0,0,-26062
24,500,500,0,0,-26787
25,500,500,0,0,-27072
26,500,500,0,0,-27929
27,500,500,0,0,-28328
28,500,500,0,0,-28732
29,500,500,0,0,-28913
30,500,500,0,0,-29152
31,500,500,0,0,-29649
32,500,500,0,0,-30378
33,500,500,0,0,-30696
34,500,500,0,0,-30671
35,500,500,0,0,-31306
36,500,500,0,0,-31574
37,500,500,0,0,-32064
38,500,500,0,0,-32146
39,500,500,0,0,-32485
40,500,500,0,0,32688
41,500,500,0,0,32373
42,500,500,0,0,32026
43,500,500,0,0,31785
44,500,500,0,0,31128
45,500,500,0,0,30990
46,500,500,0,0,30800
47,500,500,0,0,30395
48,500,500,0,0,30157
49,500,500,0,0,30264
50,500,500,0,0,30114
51,500,500,0,0,29930
52,500,500,0,0,29678
53,500,500,0,0,29618
54,500,500,0,0,29400
55,500,500,0,0,29386
56,500,500,0,0,29398
57,500,500,0,0,29039
58,500,500,0,0,28926
59,500,500,0,0,29051
60,500,500,0,0,28769
61,500,500,0,0,28841
62,500,500,0,0,28763
63,500,500,0,0,28848
64,500,500,0,0,28391
65,500,500,0,0,28478
66,500,500,0,0,28236
67,500,500,0,0,28052
68,500,500,0,0,27930
69,500,500,0,0,27838
70,500,500,0,0,27677
71,500,500,0,0,27353
72,500,500,0,0,27111
73,500,500,0,0,27010
74,500,500,0,0,26924
75,500,500,0,0,26676
76,500,500,0,0,26640
77,500,500,0,0,26571
78,500,500,0,0,26428
79,500,500,0,0,26231
80,500,500,0,0,26188
81,500,500,0,0,26086
82,500,500,0,0,25872
83,500,500,0,0,25716
84,500,500,0,0,25520
85,500,500,0,0,25353
86,500,500,0,0,25274
87,500,500,0,0,24978
88,500,500,0,0,24833
89,500,500,0,0,24721
90,500,500,0,0,24472
91,500,500,0,0,24408
92,500,500,0,0,24161
93,500,500,0,0,24274
94,500,500,0,0,23999
95,500,500,0,0,23914
96,500,500,0,0,23713
97,500,500,0,0,23438
98,500,500,0,0,23556
99,500,500,0,0,23287
100,500,500,0,0,23412
101,500,500,0,0,23209
102,500,500,0,0,23133
103,500,500,0,0,22869
104,500,500,0,0,22992
105,500,500,0,0,22814
106,500,500,0,0,22628
107,500,500,0,0,22374
108,500,500,0,0,22372
109,500,500,0,0,22177
110,500,500,0,0,22374
111,500,500,0,0,22203
112,500,500,0,0,22437
113,500,500,0,0,22303
114,500,500,0,0,22252
115,500,500,0,0,21692
116,500,500,0,0,22075
117,500,500,0,0,21733
118,500,500,0,0,21829
119,500,500,0,0,21686
120,500,500,0,0,21978
121,500,500,0,0,21763
122,500,500,0,0,21609
123,500,500,0,0,21597
124,500,500,0,0,21714
125,500,500,0,0,21598
126,500,500,0,0,21819
127,500,500,0,0,21746
128,500,500,0,0,21701
129,500,500,0,0,21747
130,500,500,0,0,21717
131,500,500,0,0,21499
132,500,500,0,0,21430
133,500,500,0,0,21414
134,500,500,0,0,21299
135,500,500,0,0,21532
136,500,500,0,0,21474
137,500,500,0,0,21526
138,500,500,0,0,21245
139,500,500,0,0,21021
140,500,500,0,0,21109
141,500,500,0,0,20595
142,500,500,0,0,20853
143,500,500,0,0,20430
144,500,500,0,0,20523
145,500,500,0,0,20479
146,500,500,0,0,20524
147,500,500,0,0,20273
148,500,500,0,0,20256
149,500,500,0,0,20108
150,500,500,0,0,20293
151,500,500,0,0,20075
152,500,500,0,0,20083
153,500,500,0,0,20109
154,500,500,0,0,20086
155,500,500,0,0,20049
156,500,500,0,0,20014
157,500,500,0,0,19836
158,500,500,0,0,19510
159,500,500,0,0,19538
160,500,500,0,0,19245
161,500,500,0,0,19321
162,500,500,0,0,19187
163,500,500,0,0,19092
164,500,500,0,0,18875
165,500,500,0,0,18706
166,500,500,0,0,18658
167,500,500,0,0,18482
168,500,500,0,0,18401
169,500,500,0,0,18366
170,500,500,0,0,18392
171,500,500,0,0,18337
172,500,500,0,0,18447
173,500,500,0,0,18470
174,500,500,0,0,18403
175,500,500,0,0,18349
176,500,500,0,0,18402
177,500,500,0,0,18409
178,500,500,0,0,18342
179,500,500,0,0,18328
180,500,500,0,0,18389
181,500,500,0,0,18302
182,500,500,0,0,18311
183,500,500,0,0,18300
184,500,500,0,0,18390
185,500,500,0,0,18238
186,500,500,0,0,18186
187,500,500,0,0,18198
188,500,500,0,0,18212
189,500,500,0,0,17986
190,500,500,0,0,17943
191,500,500,0,0,17855
192,500,500,0,0,17973
193,500,500,0,0,17716
194,500,500,0,0,17699
195,500,500,0,0,17789
196,500,500,0,0,17757
197,500,500,0,0,17799
198,500,500,0,0,17987
199,500,500,0,0,17989
200,500,500,0,0,18018
201,500,500,0,0,17724
